City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yanchep,-31.55,115.6833,20.59,49,92,0.95,AU,1730415418
84,san patricio,28.017,-97.5169,27.97,62,61,4.23,US,1730415420
85,cidade velha,14.9167,-23.6167,25.26,78,40,4.63,CV,1730415421
86,thompson,55.7435,-97.8558,-3.91,46,20,1.54,CA,1730415422
87,yendi,9.4427,-0.0099,25.97,50,16,1.4,GH,1730415423
88,saynshand,44.8824,110.1163,0.61,54,44,2.26,MN,1730415424
89,nikki,9.9401,3.2108,23.28,41,26,1.35,BJ,1730415428
90,yellowknife,62.456,-114.3525,-5.33,99,100,7.72,CA,1730415429
91,bredasdorp,-34.5322,20.0403,15.33,97,31,2.57,ZA,1730415430
92,college,64.8569,-147.8028,-8.01,69,100,3.09,US,1730415431
93,craig,40.5153,-107.5464,8.97,29,100,7.72,US,1730415433
94,lebu,-37.6167,-73.65,12.18,84,82,2.8,CL,1730415434
95,isafjordur,66.0755,-23.124,-7.11,63,17,4.32,IS,1730415436
96,yaren,-0.5472,166.916,28.25,68,1,3.09,NR,1730415437
97,san antonio de pale,-1.4014,5.6325,25.31,83,42,4.64,GQ,1730415439
98,buka,40.8108,69.1986,10.93,50,100,1.87,UZ,1730415440
99,west island,-12.1568,96.8225,25.99,83,75,4.63,CC,1730415441
100,howrah,22.5892,88.3103,27.0,89,40,1.54,IN,1730415442
101,port alfred,-33.5906,26.891,17.32,86,77,0.89,ZA,1730415443
102,hirara,24.8,125.2833,28.15,89,75,12.86,JP,1730415444
103,scarborough,54.2797,-0.4044,10.51,71,0,2.24,GB,1730415446
104,karratha,-20.7377,116.8463,29.92,36,2,6.22,AU,1730415447
105,kursavka,44.4564,42.5093,10.13,78,82,5.77,RU,1730415448
106,papatowai,-46.5619,169.4708,7.58,94,100,1.0,NZ,1730415449
107,hamlet,34.8849,-79.6942,24.81,57,0,2.06,US,1730415450
108,vadso,70.0744,29.7487,-1.91,80,0,9.26,NO,1730415451
109,homer,59.6425,-151.5483,2.8,97,100,4.47,US,1730415453
110,afaahiti,-17.75,-149.2833,23.22,78,53,6.87,PF,1730415454
111,georgetown,5.4112,100.3354,26.96,88,40,1.03,MY,1730415455
112,bamboo flat,11.7,92.7167,25.87,82,96,1.42,IN,1730415457
113,thunder bay,48.4001,-89.3168,2.99,56,75,4.63,CA,1730415459
114,cordeiropolis,-22.4819,-47.4567,22.49,63,88,5.69,BR,1730415460
115,galliano,29.4422,-90.2992,27.0,78,40,3.09,US,1730415461
116,winnemucca,40.973,-117.7357,9.03,34,20,7.2,US,1730415462
117,chancay,-11.5714,-77.2672,17.91,81,41,3.64,PE,1730415463
118,klyuchi,52.2667,79.1667,2.22,88,98,3.32,RU,1730415464
119,huarmey,-10.0681,-78.1522,18.78,78,19,3.39,PE,1730415466
120,ribeira grande,38.5167,-28.7,22.1,94,100,8.49,PT,1730415468
121,manicore,-5.8092,-61.3003,28.84,46,46,1.0,BR,1730415469
122,egilsstadir,65.2653,-14.3948,-4.05,63,40,3.09,IS,1730415470
123,kiratu,-3.3333,35.6667,18.56,82,75,2.33,TZ,1730415472
124,vuktyl,63.8567,57.3094,1.48,96,100,6.35,RU,1730415473
125,phan rang-thap cham,11.5667,108.9833,23.96,89,94,1.37,VN,1730415474
126,nushki,29.5542,66.0215,19.31,21,19,1.63,PK,1730415475
127,el calafate,-50.3408,-72.2768,12.99,63,94,4.12,AR,1730415476
128,iskateley,67.6803,53.1512,0.97,97,100,8.95,RU,1730415477
129,jamestown,42.097,-79.2353,22.8,60,100,6.69,US,1730415381
130,mount pearl,47.5166,-52.7813,7.96,96,100,3.09,CA,1730415480
131,nema,57.5067,50.5011,0.62,90,98,3.48,RU,1730415481
132,uturoa,-16.7333,-151.4333,25.14,64,8,5.66,PF,1730415482
133,berezovyy,51.6667,135.7,-2.6,65,48,0.87,RU,1730415483
134,badger,64.8,-147.5333,-7.23,71,100,3.09,US,1730415485
135,rikaze,29.25,88.8833,3.71,41,0,2.01,CN,1730415486
136,padang,-0.9492,100.3543,24.03,85,100,1.57,ID,1730415487
137,nova sintra,14.8667,-24.7167,26.74,78,100,5.19,CV,1730415488
138,nantucket,41.2835,-70.0995,15.64,94,20,8.06,US,1730415489
139,iqaluit,63.7506,-68.5145,0.85,69,100,9.77,CA,1730415492
140,laguna,38.421,-121.4238,19.57,48,0,3.09,US,1730415493
141,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,63,0,4.0,RU,1730415494
142,rockland,41.1668,-74.0496,24.15,60,99,2.96,US,1730415495
143,hermanus,-34.4187,19.2345,17.11,93,14,4.22,ZA,1730415496
144,copiapo,-27.3667,-70.3333,18.6,52,60,2.28,CL,1730415497
145,gremda,34.75,10.7833,24.11,83,40,3.09,TN,1730415499
146,krasnyy kholm,58.0607,37.1203,1.41,91,100,4.66,RU,1730415502
147,kuta,-8.7233,115.1723,25.97,94,20,0.51,ID,1730415504
148,qamdo,31.1667,97.2333,0.26,77,48,2.52,CN,1730415505
149,bay city,43.5945,-83.8889,18.38,74,20,9.77,US,1730415451
150,saipan,15.1355,145.701,29.39,84,75,8.75,MP,1730415507
151,es castell,39.8795,4.2854,20.38,94,75,3.6,ES,1730415508
152,malpica,43.3228,-8.8105,14.58,100,74,1.75,ES,1730415511
153,mossel bay,-34.1831,22.146,16.96,90,74,3.29,ZA,1730415512
154,vorkuta,67.5,64.0,-1.85,82,99,10.13,RU,1730415513
155,sihanoukville,10.6093,103.5296,24.97,94,40,1.03,KH,1730415514
156,kutum,14.2,24.6667,19.89,22,20,4.61,SD,1730415515
157,dien bien phu,21.3833,103.0167,20.57,93,42,1.1,VN,1730415516
158,xinyuan,37.3,99.0,-3.22,63,56,1.46,CN,1730415518
159,sechura,-5.5569,-80.8222,20.07,69,66,8.1,PE,1730415519
160,kralendijk,12.15,-68.2667,29.99,70,20,6.69,BQ,1730415520
161,hamilton,39.1834,-84.5333,17.69,91,100,5.66,US,1730415521
162,puerto aysen,-45.4,-72.7,13.78,88,89,1.16,CL,1730415522
163,angaur state,6.906,134.13,28.59,74,79,4.16,PW,1730415523
164,pasni,25.2631,63.471,25.71,70,0,3.0,PK,1730415525
165,acapulco de juarez,16.8634,-99.8901,26.44,78,82,3.9,MX,1730415424
166,natal,-5.795,-35.2094,26.12,78,40,5.14,BR,1730415527
167,kyabe,9.4515,18.9449,24.32,41,99,2.05,TD,1730415528
168,suntar,62.1444,117.6319,-16.38,96,100,0.99,RU,1730415529
169,choibalsan,48.0667,114.5,-2.43,58,11,0.96,MN,1730415530
170,polyarnyy,69.1989,33.4478,-2.25,78,100,10.64,RU,1730415532
171,kirakira,-10.4544,161.9205,28.23,77,99,1.62,SB,1730415533
172,chatellerault,46.8,0.5333,12.53,96,19,2.2,FR,1730415534
173,gadzhiyevo,69.2551,33.3362,-2.26,78,100,11.0,RU,1730415392
174,vorgashor,67.5833,63.95,-2.03,82,98,9.8,RU,1730415536
